SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"YESBANK","22.54","22.85","22.48","22.54","22.78","-","0.24","1.06","37775562","85.83","25.78","17.20","-7.36","20.35"
"HDFCLIFE","548.70","550.90","544.05","545.40","550.90","-","5.5","1.01","11438476","625.15","815.00","543.00","-3.76","-27.4"
"RVNL","223.95","226.52","222.10","222.88","225.05","-","2.17","0.97","4389129","98.71","400.70","220.16","-5.11","-35.23"
"MANAPPURAM","368.35","377.00","367.30","368.35","371.90","-","3.55","0.96","6553842","244.18","381.55","245.15","17.43","46.95"
"RELIANCE","1,295.00","1,309.70","1,293.60","1,292.90","1,305.00","-","12.1","0.94","8624996","1,123.91","1,611.80","1,249.80","-0.02","-5.93"
"PNB","112.00","113.00","111.69","111.64","112.65","-","1.01","0.9","11559072","130.04","135.15","98.50","4.81","6.96"
"ZYDUSLIFE","1,124.90","1,134.30","1,117.70","1,115.10","1,125.00","-","9.9","0.89","721020","81.10","1,181.50","835.50","1.59","16.19"
"BHEL","406.00","412.35","405.95","403.00","406.45","-","3.45","0.86","6869187","281.01","446.50","205.12","-1.68","70.69"
"ADANIPOWER","209.98","212.68","209.11","208.97","210.75","-","1.78","0.85","15216198","321.26","254.20","110.45","-6.85","-64.07"
"INDIANB","828.00","840.90","828.00","827.25","834.10","-","6.85","0.83","1312076","109.51","1,000.90","606.00","1.89","34.55"
"NATIONALUM","352.00","355.75","347.65","347.65","350.50","-","2.85","0.82","7186013","252.91","445.15","179.93","4.6","89.15"
"NHPC","78.29","78.86","77.91","78.07","78.70","-","0.63","0.81","5662702","44.44","89.22","71.62","-1.06","-5.43"
"SRF","2,614.80","2,639.10","2,597.80","2,604.80","2,624.80","-","20","0.77","365175","95.66","3,210.00","2,355.00","-4.28","-13.76"
"JINDALSTEL","1,094.50","1,114.00","1,093.60","1,093.70","1,102.00","-","8.3","0.76","783287","86.65","1,306.20","941.55","7.15","14.24"
"BAJAJ-AUTO","11,475.00","11,590.00","11,329.50","11,432.00","11,519.00","-","87","0.76","214380","246.94","11,590.00","7,858.50","17.05","43.86"
"BEL","385.00","390.60","385.00","384.90","387.80","-","2.9","0.75","17114563","663.99","473.45","361.20","-6.82","1.24"
"TITAN","4,850.00","4,886.00","4,820.90","4,850.00","4,885.00","-","35","0.72","1003314","488.63","4,886.00","3,303.10","10.84","45.65"
"SBILIFE","1,885.00","1,898.90","1,870.60","1,877.50","1,890.50","-","13","0.69","723852","136.27","2,132.00","1,700.40","5.09","2.24"
"BANDHANBNK","173.40","175.40","173.28","172.72","173.90","-","1.18","0.68","7033133","122.69","220.76","134.25","-15.08","3.6"
"SONACOMS","769.95","773.20","761.95","763.75","768.70","-","4.95","0.65","2880222","221.39","773.20","402.30","24.22","71.15"
"HINDZINC","536.05","543.90","535.35","535.90","539.25","-","3.35","0.63","4198309","226.49","733.00","413.50","2.82","27.15"
"UNOMINDA","1,181.00","1,188.00","1,167.60","1,172.80","1,180.00","-","7.2","0.61","776436","91.81","1,382.00","994.00","8.49","13.36"
"OBEROIRLTY","1,806.00","1,836.60","1,806.00","1,814.40","1,825.00","-","10.6","0.58","337199","61.58","1,986.10","1,391.20","1.28","12.12"
"MCX","2,685.00","2,704.70","2,668.40","2,677.00","2,692.30","-","15.3","0.57","999020","268.78","3,480.00","1,460.80","-9.11","-65"
"BDL","1,247.00","1,264.80","1,247.00","1,245.90","1,253.00","-","7.1","0.57","381704","47.99","1,654.00","1,086.00","-9.13","-22.6"
"OFSS","11,100.00","11,270.00","10,882.00","11,136.00","11,200.00","-","64","0.57","294348","327.97","11,979.00","6,234.50","2.97","31.99"
