"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 10-Aug-2026","1W AGO 
 04-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY100 ALPHA 30","18,683.50","0.21","18,707.45","18,725.10","18,677.40","-","18,644.45","18,644.45","18,308.45","18,110.05","17,815.60","-","-",3.17,3.8
"NIFTY200 VALUE 30","15,168.70","-0.25","15,198.40","15,206.05","15,163.80","-","15,207.20","15,207.20","15,250.45","15,069.20","12,652.10","-","-",0.66,18.69
"NIFTY500 EQUAL WEIGHT","15,208.95","0.14","15,209.20","15,211.30","15,206.10","-","15,187.40","15,187.40","15,123.65","14,973.05","13,829.80","-","-",1.58,9.35
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,811.90","0.02","41,816.65","41,861.55","41,801.50","-","41,802.70","41,802.70","41,295.10","41,241.80","40,116.75","-","-",1.38,3.74
"NIFTY500 VALUE 50","16,297.80","-0.20","16,323.20","16,329.20","16,292.60","-","16,330.95","16,330.95","16,309.75","16,082.00","13,663.65","-","-",1.34,18.2
"NIFTY TOP 20 EQUAL WEIGHT","9,039.10","-0.17","9,048.10","9,050.85","9,032.90","-","9,054.10","9,054.10","9,074.00","8,699.45","8,849.85","-","-",3.9,1.2
"NIFTY500 QUALITY 50","20,113.45","0.03","20,122.50","20,126.85","20,110.60","-","20,107.40","20,107.40","19,974.55","19,696.70","18,678.90","-","-",2.12,7.33
"NIFTY500 LOW VOLATILITY 50","22,720.10","-0.12","22,753.60","22,756.65","22,710.60","-","22,748.20","22,748.20","22,870.20","22,107.95","21,014.65","-","-",2.77,7.49
"NIFTY500 MULTIFACTOR MQVLV 50","31,339.35","-0.15","31,393.90","31,395.30","31,335.80","-","31,385.70","31,385.70","31,468.10","31,042.75","29,868.85","-","-",0.96,4.41
"NIFTY50 USD","8,911.75","-0.29","8,938.50","9,049.90","8,911.75","-","8,938.50","8,938.50","8,941.60","8,798.93","-","-","-",1.28,-8.29
"NIFTY500 FLEXICAP QUALITY 30","10,283.10","0.18","10,277.95","10,287.40","10,273.65","-","10,264.65","10,264.65","10,248.45","9,840.65","-","-","-",4.5,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","44,559.35","0.11","44,560.75","44,612.20","44,547.90","-","44,512.00","44,512.00","43,845.30","43,627.25","-","-","-",2.14,0
"NIFTY COMMODITIES","10,002.00","-0.09","10,025.45","10,028.25","10,000.10","-","10,011.40","10,011.40","9,928.75","9,891.45","8,638.90","10,569.65","8,560.60",1.12,14.79
"NIFTY INDIA CONSUMPTION","12,220.70","-0.07","12,225.65","12,227.75","12,215.05","-","12,229.45","12,229.45","12,209.30","11,737.75","11,647.10","12,716.20","10,298.50",4.11,3.95
"NIFTY CPSE","6,474.05","0.01","6,482.10","6,490.30","6,470.25","-","6,473.10","6,473.10","6,534.35","6,645.15","6,317.20","7,593.35","6,101.90",-2.57,2.22
"NIFTY ENERGY","38,742.10","-0.02","38,834.80","38,845.90","38,735.10","-","38,748.15","38,748.15","38,816.65","39,242.05","34,391.95","41,828.55","32,890.30",-1.27,11.94
"NIFTY INFRASTRUCTURE","9,440.70","-0.27","9,462.70","9,464.55","9,438.70","-","9,465.85","9,465.85","9,419.55","9,429.45","8,879.10","9,792.60","8,426.65",0.12,5.16
"NIFTY100 LIQUID 15","7,682.85","-0.36","7,704.60","7,704.75","7,679.40","-","7,710.80","7,710.80","7,676.05","7,470.45","6,772.25","7,785.85","6,565.70",2.84,12.09
"NIFTY MIDCAP LIQUID 15","17,294.20","0.12","17,307.65","17,314.90","17,283.95","-","17,272.70","17,272.70","17,022.65","16,852.85","14,644.70","17,327.40","13,702.75",2.62,16.7
"NIFTY MNC","33,958.30","0.25","33,966.80","33,980.75","33,947.85","-","33,875.30","33,875.30","33,460.90","32,688.00","28,134.05","33,949.55","27,597.20",3.89,20.04
"NIFTY PSE","9,838.85","-0.12","9,855.35","9,860.15","9,834.75","-","9,850.75","9,850.75","9,937.90","9,911.25","9,529.40","10,839.05","9,168.35",-0.73,2.76
"NIFTY SERVICES SECTOR","31,269.80","-0.13","31,307.25","31,307.65","31,265.70","-","31,310.15","31,310.15","31,608.50","31,168.35","32,033.20","34,549.75","28,232.65",0.33,-3.16
"NIFTY100 ESG SECTOR LEADERS","4,131.55","-0.12","4,137.05","4,137.65","4,129.50","-","4,136.65","4,136.65","4,143.30","4,077.40","4,076.45","-","-",1.33,0.44
"NIFTY INDIA DIGITAL","8,758.15","0.29","8,754.35","8,761.80","8,749.55","-","8,732.60","8,732.60","8,691.60","8,135.55","8,641.35","9,723.25","7,233.65",7.65,0.1
"NIFTY100 ESG","5,133.95","-0.02","5,139.55","5,139.65","5,131.65","-","5,134.85","5,134.85","5,147.15","4,958.20","4,794.50","-","-",3.54,6.05
"NIFTY INDIA MANUFACTURING","16,647.20","-0.05","16,654.90","16,658.00","16,642.70","-","16,655.50","16,655.50","16,496.05","15,939.00","13,947.25","-","-",4.44,18.54
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,899.55","-","14,915.00","14,926.15","14,888.40","-","14,900.25","14,900.25","14,924.90","14,019.50","14,486.15","15,588.85","13,218.65",6.28,1.96
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","17,094.70","0.03","17,103.85","17,104.95","17,092.20","-","17,090.40","17,090.40","16,897.05","16,363.50","14,659.65","17,180.30","14,148.20",4.47,15.85
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,758.95","-0.05","14,777.75","14,779.80","14,757.05","-","14,767.00","14,767.00","14,713.40","14,741.10","13,640.45","14,885.80","12,542.85",0.12,7.14
"NIFTY INDIA DEFENCE","9,660.65","0.26","9,647.10","9,673.20","9,641.35","-","9,635.65","9,635.65","9,420.05","9,485.45","7,607.90","9,784.60","7,184.90",1.85,25.45
"NIFTY INDIA TOURISM","8,134.30","0.04","8,134.15","8,139.70","8,133.70","-","8,131.45","8,131.45","8,088.75","8,173.40","8,939.20","9,452.55","6,502.65",-0.48,-9.83
"NIFTY CAPITAL MARKETS","5,304.80","0.18","5,303.30","5,309.80","5,302.85","-","5,295.50","5,295.50","5,281.50","5,540.10","4,318.50","5,697.10","4,086.85",-4.25,22.13
"NIFTY EV & NEW AGE AUTOMOTIVE","3,399.10","0.19","3,394.80","3,400.65","3,393.90","-","3,392.55","3,392.55","3,313.95","3,119.45","2,853.10","-","-",8.96,18.49
"NIFTY INDIA NEW AGE CONSUMPTION","12,199.60","0.03","12,199.90","12,204.50","12,193.15","-","12,195.50","12,195.50","12,158.35","11,798.15","11,420.25","-","-",3.4,5.79
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","40,220.90","0.15","40,267.50","40,288.80","40,208.60","-","40,159.45","40,159.45","39,763.75","38,774.90","35,087.35","-","-",3.73,13.16
"NIFTY MOBILITY","23,903.10","-0.04","23,931.95","23,932.40","23,898.20","-","23,911.75","23,911.75","23,700.75","22,507.10","20,582.70","-","-",6.2,14.8
"NIFTY100 ENHANCED ESG","5,168.40","-0.02","5,174.00","5,174.15","5,166.10","-","5,169.25","5,169.25","5,181.85","4,991.45","4,829.65","-","-",3.55,5.99
"NIFTY CORE HOUSING","16,083.20","-0.02","16,088.65","16,102.40","16,083.20","-","16,085.90","16,085.90","15,996.45","15,920.80","15,794.85","16,610.25","12,788.20",1.02,0.96
"NIFTY HOUSING","12,089.25","-0.08","12,107.30","12,111.10","12,089.15","-","12,099.50","12,099.50","12,089.55","12,114.85","11,253.60","12,244.25","10,358.70",-0.21,6.33
"NIFTY IPO","2,333.60","0.11","2,335.65","2,335.65","2,333.60","-","2,331.10","2,331.10","2,304.05","2,321.45","2,044.90","2,340.50","1,774.60",0.52,13.29
"NIFTY MIDSMALL INDIA CONSUMPTION","19,091.90","0.19","19,095.55","19,095.55","19,073.80","-","19,056.05","19,056.05","19,074.20","18,976.30","19,121.70","20,135.15","15,614.35",0.61,-0.82
"NIFTY NON-CYCLICAL CONSUMER","15,653.95","-0.08","15,658.50","15,661.90","15,651.75","-","15,665.95","15,665.95","15,744.40","15,348.80","15,938.40","16,983.45","13,311.10",1.99,-2.62
"NIFTY RURAL","15,842.00","-0.24","15,871.55","15,874.40","15,839.60","-","15,879.70","15,879.70","15,856.55","15,408.35","14,660.80","16,396.40","13,751.35",2.81,7.15
"NIFTY SHARIAH 25","8,224.75","-","8,228.90","8,230.90","8,223.20","-","8,224.45","8,224.45","8,205.85","7,813.25","7,994.20","8,562.10","7,196.60",5.27,2.06
"NIFTY TRANSPORTATION & LOGISTICS","26,820.25","0.05","26,826.35","26,834.50","26,804.20","-","26,807.10","26,807.10","26,524.80","25,084.15","23,106.00","27,025.05","21,355.40",6.92,14.67
"NIFTY50 SHARIAH","4,439.95","0.10","4,440.10","4,442.90","4,439.00","-","4,435.50","4,435.50","4,439.90","4,197.05","4,508.80","4,982.45","4,082.25",5.79,-2.4
"NIFTY500 SHARIAH","7,173.10","0.05","7,176.05","7,176.95","7,172.60","-","7,169.85","7,169.85","7,131.50","6,905.65","6,865.95","7,291.95","6,162.95",3.87,3.85
"NIFTY SME EMERGE","14,398.65","0.05","14,398.05","14,398.65","14,397.05","-","14,391.90","14,391.90","14,038.95","14,040.65","14,813.90","17,223.65","11,015.55",2.55,-3.01
"NIFTY INDIA INTERNET","1,407.60","0.28","1,406.40","1,408.90","1,405.55","-","1,403.70","1,403.70","1,389.45","1,357.20","-","1,501.90","1,056.45",3.71,0
"NIFTY WAVES","1,936.30","0.31","1,934.00","1,936.65","1,934.00","-","1,930.35","1,930.35","1,951.55","1,976.75","2,120.08","2,789.80","1,581.05",-2.05,-8.15
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12,249.15","0.03","12,261.55","12,269.40","12,247.25","-","12,245.60","12,245.60","12,196.10","12,350.00","-","12,549.95","9,210.40",-0.82,0
"NIFTY INDIA RAILWAYS PSU","2,894.80","-0.02","2,895.70","2,896.35","2,894.35","-","2,895.50","2,895.50","2,899.95","2,854.95","3,467.90","4,005.50","2,744.60",1.4,-16.95
"NIFTY CONGLOMERATE 50","15,634.20","-0.07","15,661.75","15,666.20","15,630.20","-","15,645.20","15,645.20","15,583.35","14,836.80","13,749.26","15,692.30","12,226.80",5.37,12.36
"NIFTY 8-13 YR G-SEC","3,063.36","-0.03","3,065.08","3,065.09","3,063.15","-","3,064.53","3,064.53","3,051.01","3,055.62","2,931.04","-","-",0.25,4.75
"NIFTY 10 YR BENCHMARK G-SEC","2,682.66","-0.09","2,685.79","2,685.79","2,682.26","-","2,685.30","2,685.30","2,671.61","2,680.74","2,598.26","-","-",0.07,3.47
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","878.21","-0.11","879.26","879.26","878.08","-","879.26","879.26","875.71","882.77","909.60","-","-",-0.52,-3.19
"NIFTY 4-8 YR G-SEC INDEX","3,348.86","-0.01","3,349.80","3,349.80","3,348.86","-","3,349.20","3,349.20","3,337.82","3,332.79","3,174.18","-","-",0.48,5.73
"NIFTY 11-15 YR G-SEC INDEX","3,391.74","-0.04","3,393.85","3,393.85","3,391.74","-","3,393.21","3,393.21","3,377.85","3,383.84","3,209.78","-","-",0.23,5.99
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,587.43","0.02","3,587.43","3,587.43","3,587.43","-","3,586.72","3,586.72","3,548.98","3,592.23","3,467.65","-","-",-0.13,4.13
"NIFTY COMPOSITE G-SEC INDEX","3,156.66","-0.03","3,158.37","3,158.37","3,156.60","-","3,157.78","3,157.78","3,140.44","3,149.08","3,017.34","-","-",0.24,4.95
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,614.62","0.01","1,614.64","1,614.64","1,614.62","-","1,614.32","1,614.32","1,610.08","1,604.93","1,540.05","-","-",0.6,4.96
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,467.08","0.01","1,467.08","1,467.08","1,467.08","-","1,466.81","1,466.81","1,464.29","1,460.70","1,405.35","-","-",0.44,4.53
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,334.85","0.01","1,334.85","1,334.85","1,334.84","-","1,334.60","1,334.60","1,331.13","1,328.77","1,281.00","-","-",0.46,4.15
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,293.21","0.01","1,293.21","1,293.21","1,293.21","-","1,292.97","1,292.97","1,289.39","1,287.79","1,244.44","-","-",0.42,3.86
