SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"DMART","3,910.00","3,918.00","3,900.00","3,900.00","3,905.50","-","5.5","0.14","23350","9.12","4,949.50","3,529.00","-4.44","-6.48"
"KOTAKBANK","388.00","393.00","387.25","390.75","391.25","-","0.5","0.13","869187","33.96","453.20","345.50","3.48","-79.99"
"ADANIENSOL","1,630.10","1,634.90","1,622.00","1,630.10","1,632.10","-","2","0.12","77739","12.66","1,789.00","744.90","-1.44","106.3"
"AUROPHARMA","1,668.00","1,671.90","1,656.50","1,658.00","1,660.00","-","2","0.12","146866","24.46","1,671.90","1,016.10","5.96","59.1"
"DRREDDY","1,172.00","1,178.80","1,168.00","1,172.00","1,173.30","-","1.3","0.11","98202","11.53","1,414.90","1,101.00","-5.81","-3.25"
"CUMMINSIND","5,480.00","5,486.00","5,425.00","5,426.00","5,432.00","-","6","0.11","25524","13.88","6,100.00","3,572.90","-3.48","42.53"
"POLICYBZR","1,607.00","1,610.00","1,602.40","1,604.50","1,606.00","-","1.5","0.09","24697","3.97","1,974.00","1,364.00","1.52","-9.32"
"IDFCFIRSTB","84.34","85.15","84.34","84.62","84.70","-","0.08","0.09","589159","4.99","88.76","58.08","4.69","22.44"
"FEDERALBNK","357.00","358.60","356.00","356.25","356.55","-","0.3","0.08","149984","5.36","371.70","188.40","8","81.44"
"HAL","4,910.00","4,930.00","4,895.40","4,910.00","4,912.00","-","2","0.04","60857","29.90","4,978.00","3,479.10","8.95","10.57"
"DALBHARAT","1,832.80","1,834.90","1,817.10","1,827.40","1,828.10","-","0.7","0.04","19345","3.54","2,496.30","1,605.00","2.29","-18.54"
"CONCOR","507.00","507.00","504.75","505.20","505.40","-","0.2","0.04","33486","1.69","569.80","421.45","8.94","-9.24"
"NHPC","76.92","77.20","76.65","76.92","76.95","-","0.03","0.04","497807","3.83","89.22","71.62","-3.63","-5.94"
"HDFCBANK","731.50","733.30","730.25","731.00","731.15","-","0.15","0.02","2487285","181.99","1,020.50","726.65","-11.39","-62.97"
"TCS","2,452.70","2,456.10","2,443.80","2,452.70","2,453.10","-","0.4","0.02","234476","57.49","3,350.00","1,976.80","18.55","-19.22"
"NTPC","342.50","343.70","341.90","342.50","342.50","-","0","0","270014","9.25","414.40","315.55","-0.59","2.32"
"JIOFIN","256.80","257.70","256.45","256.80","256.80","-","0.6","0.23","900708","23.16","333.70","223.30","6.13","-20.04"
"RADICO","4,494.00","4,519.10","4,470.10","4,499.00","4,499.20","-","0.2","0","23860","10.72","4,590.30","2,500.00","10.44","59.31"
"AUBANK","1,068.30","1,071.90","1,064.40","1,067.00","1,066.90","-","-0.1","-0.01","40236","4.29","1,105.90","682.15","-0.48","44.38"
"SBICARD","658.05","664.95","658.05","659.00","658.75","-","-0.25","-0.04","62908","4.16","965.00","565.45","7.74","-16.25"
"LICI","394.90","394.95","392.30","394.00","393.75","-","-0.25","-0.06","725266","28.56","468.48","360.75","-11.07","-56.84"
"CDSL","1,328.00","1,329.30","1,323.00","1,328.00","1,327.20","-","-0.8","-0.06","52029","6.90","1,673.70","1,116.30","-7.26","-15.26"
"GODFRYPHLP","2,299.80","2,309.80","2,274.00","2,286.00","2,284.00","-","-2","-0.09","29742","6.82","3,947.00","1,832.10","8.07","-77.02"
"VOLTAS","1,286.00","1,294.00","1,278.60","1,285.00","1,283.90","-","-1.1","-0.09","37995","4.90","1,582.50","1,186.80","-0.13","-1.53"
"OBEROIRLTY","1,775.00","1,783.80","1,768.30","1,775.00","1,773.30","-","-1.7","-0.1","14693","2.61","1,986.10","1,391.20","-7.78","12.96"
"SHRIRAMFIN","1,115.00","1,119.80","1,106.10","1,115.00","1,113.80","-","-1.2","-0.11","361091","40.30","1,153.70","566.50","6.79","82.89"
"INDUSINDBK","1,022.00","1,022.20","1,016.00","1,022.00","1,020.90","-","-1.1","-0.11","73156","7.46","1,077.85","710.60","0.61","30.62"
"APOLLOHOSP","8,945.00","8,971.00","8,927.00","8,945.00","8,935.00","-","-10","-0.11","8848","7.92","9,050.00","6,696.50","1.18","26.26"
"HCLTECH","1,356.60","1,360.90","1,353.20","1,356.60","1,355.00","-","-1.6","-0.12","69621","9.45","1,780.10","1,030.00","16.54","-8.07"
"ASTRAL","1,445.00","1,449.70","1,439.20","1,444.00","1,442.30","-","-1.7","-0.12","8792","1.27","1,768.70","1,263.70","8.26","4.96"
"SRF","2,625.00","2,628.10","2,608.80","2,615.00","2,611.90","-","-3.1","-0.12","12597","3.30","3,210.00","2,355.00","-5.75","-8.6"
"UPL","572.75","572.75","568.55","573.00","572.25","-","-0.75","-0.13","103439","5.90","812.20","563.15","-3.66","-16.81"
"COCHINSHIP","1,519.70","1,519.70","1,507.10","1,519.70","1,517.60","-","-2.1","-0.14","85243","12.90","1,979.90","1,187.00","7.17","-7.39"
"LODHA","1,220.00","1,223.70","1,215.80","1,218.70","1,217.00","-","-1.7","-0.14","34293","4.18","1,344.95","650.80","-0.17","1.34"
"ADANIPOWER","209.05","209.59","208.13","209.00","208.70","-","-0.3","-0.14","858404","17.92","254.20","110.45","-4.33","-63.77"
"BEL","402.00","402.20","400.05","401.00","400.45","-","-0.55","-0.14","452609","18.15","473.45","361.20","-3.34","4.26"
"MFSL","1,498.90","1,516.90","1,495.30","1,497.40","1,495.30","-","-2.1","-0.14","10026","1.50","1,892.50","1,433.60","-8.31","-3.49"
"CGPOWER","880.05","881.95","874.10","879.00","877.70","-","-1.3","-0.15","73499","6.45","980.90","525.50","-4.1","31.9"
"ASIANPAINT","2,724.70","2,735.00","2,713.50","2,735.00","2,730.90","-","-4.1","-0.15","36423","9.93","2,985.70","2,115.00","2.14","10.48"
"ABB","7,639.50","7,639.50","7,545.50","7,600.00","7,587.50","-","-12.5","-0.16","12939","9.82","7,924.50","4,637.50","11.18","51.33"
"HINDALCO","1,065.00","1,068.35","1,045.60","1,059.60","1,057.65","-","-1.95","-0.18","1358004","143.16","1,176.00","657.50","9.53","57.5"
"MAXHEALTH","1,070.20","1,074.70","1,065.20","1,070.00","1,067.90","-","-2.1","-0.2","52695","5.64","1,301.70","903.00","-3.44","-14.08"
"MOTILALOFS","868.00","869.90","865.75","870.00","868.30","-","-1.7","-0.2","27171","2.36","1,097.10","614.90","-11.17","-3.93"
"MARICO","862.40","862.75","855.90","862.00","860.25","-","-1.75","-0.2","70722","6.08","889.10","690.30","1.11","22.45"
"HINDPETRO","395.00","395.00","391.25","393.05","392.25","-","-0.8","-0.2","760044","29.86","508.45","316.20","-0.57","-4.02"
"HINDUNILVR","2,096.00","2,096.00","2,085.60","2,096.00","2,091.50","-","-4.5","-0.21","30226","6.32","2,750.00","2,016.00","-2.54","-16.11"
"AMBUJACEM","434.65","435.00","431.10","434.00","433.05","-","-0.95","-0.22","132325","5.72","605.45","394.00","-0.56","-25.17"
"SUZLON","48.33","48.45","47.90","48.15","48.04","-","-0.11","-0.23","4565403","21.94","65.26","38.19","-10.7","-23.8"
"CAMS","783.15","788.00","780.05","787.50","785.70","-","-1.8","-0.23","66155","5.19","844.90","611.40","-0.38","-78.97"
